Owner,Team,League,Recipient,Amount,Election Year,Party,City,State
Adam Silver,Commissioner,NBA,WRIGHT 2016,4000,2016,Democrat,New York, New York
Adam Silver,Commissioner,NBA,BIDEN FOR PRESIDENT,2800,2020,Democrat,New York, New York
Adam Silver,Commissioner,NBA,CORY 2020,2700,2020,Democrat,New York, New York
Adam Silver,Commissioner,NBA,Kamala Harris for the People,2700,2020,Democrat,New York, New York
Adam Silver,Commissioner,NBA,Win The Era PAC,2700,2020,Democrat,New York, New York
Adam Silver,Commissioner,NBA,KOHL FOR CONGRESS,2000,2018,Democrat,New York, New York
Adam Silver,Commissioner,NBA,BETO FOR TEXAS,1000,2018,Democrat,New York, New York
Adam Silver,Commissioner,NBA,MONTANANS FOR TESTER,1000,2018,Democrat,New York, New York
Adam Silver,Commissioner,NBA,SERVE AMERICA PAC,1000,2018,Democrat,New York, New York
Adam Silver,Commissioner,NBA,ADAM SCHLEIFER FOR CONGRESS,1000,2020,Democrat,New York, New York
Adam Silver,Commissioner,NBA,ELISSA SLOTKIN FOR CONGRESS,1000,2020,Democrat,New York, New York
Adam Silver,Commissioner,NBA,DELGADO FOR CONGRESS,500,2018,Democrat,New York, New York
Alan Smolinisky,Los Angeles Dodgers,MLB,Americans for Tomorrow's Future,10000,2020,N/A,Los Angeles, California
Alan Smolinisky,Los Angeles Dodgers,MLB,Stand with Sanchez,2800,2020,Democrat,Los Angeles, California
Alex Meruelo,Arizona Coyotes,NHL,All For Our Country Leadership PAC ,5000,2020,Democrat,Phoenix, Arizona
Alex Meruelo,Arizona Coyotes,NHL,Nevadans for Steven Horsford,2800,2020,Democrat,Phoenix, Arizona
Alex Meruelo,Arizona Coyotes,NHL,Esmeralda Soria for Congress,500,2020,Democrat,Phoenix, Arizona
Amy Adams Strunk,Tennessee Titans,NFL,Gridiron-PAC,10000,2016,Bipartisan,Nashville, Tennessee
Amy Adams Strunk,Tennessee Titans,NFL,Gridiron-PAC,10000,2018,Bipartisan,Nashville, Tennessee
Amy Adams Strunk,Tennessee Titans,NFL,Gridiron-PAC,5000,2020,Bipartisan,Nashville, Tennessee
Amy Adams Strunk,Tennessee Titans,NFL,Portman for Senate Committee,2700,2016,Republican,Nashville, Tennessee
Amy Adams Strunk,Tennessee Titans,NFL,Republican National Committee,400,2016,Republican,Nashville, Tennessee
Andrew Murstein,Richard Petty Motorsports,NASCAR,Right to Rise USA,1000,2016,Republican,Statesville, North Carolina
Andrew Murstein,Richard Petty Motorsports,NASCAR,Hillary Victory Fund,1000,2016,Democrat,Statesville, North Carolina
Arte Moreno,Los Angeles Angels of Anaheim,MLB,MCCONNELL FOR MAJORITY LEADER COMMITTEE,10600,2020,Republican,Los Angeles, California
Arte Moreno,Los Angeles Angels of Anaheim,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,10000,2016,Bipartisan,Los Angeles, California
